id,subcorpus,native,language_background,level,words,sentences
1,RULEC,eng,HL,AM,431,22
3,RULEC,eng,HL,AM,245,17
5,RULEC,eng,FL,AM,472,22
6,RULEC,eng,FL,IH,319,24
7,RULEC,eng,HL,AL,44,2
8,RULEC,eng,HL,IM,96,4
9,RULEC,eng,HL,IH,107,7
10,RULEC,eng,HL,IM,95,5
11,RULEC,eng,HL,AL,34,1
12,RULEC,eng,HL,IH,149,11
13,RULEC,eng,FL,AL,136,8
14,RULEC,eng,HL,AL,81,4
15,RULEC,eng,FL,AL,185,12
16,RULEC,eng,FL,AM,414,23
17,RULEC,eng,HL,IH,549,40
18,RULEC,eng,HL,IH,225,16
19,RULEC,eng,HL,AL,299,18
22,RULEC,eng,HL,AL,45,5
23,RULEC,eng,FL,AL,574,34
24,RULEC,eng,FL,IH,137,10
25,RULEC,eng,HL,AM,46,5
26,RULEC,eng,FL,IM,50,4
27,RULEC,eng,HL,AL,16,1
28,RULEC,eng,FL,IM,136,9
30,RULEC,eng,HL,AL,32,3
32,RULEC,eng,FL,IH,167,11
33,RULEC,eng,FL,AM,58,4
34,RULEC,eng,HL,AL,189,7
35,RULEC,eng,FL,IM,82,5
36,RULEC,eng,HL,AM,241,9
37,RULEC,eng,HL,IH,160,12
38,RULEC,eng,FL,AL,472,29
39,RULEC,eng,FL,AL,479,33
40,RULEC,eng,FL,AM,92,5
41,RULEC,eng,FL,IH,402,19
42,RULEC,eng,FL,IH,36,4
43,RULEC,eng,HL,IM,55,6
44,RULEC,eng,FL,IM,329,29
45,RULEC,eng,HL,IH,148,7
46,RULEC,eng,HL,AM,42,3
47,RULEC,eng,HL,AL,242,12
48,RULEC,eng,FL,IH,54,3
49,RULEC,eng,HL,AL,166,13
50,RULEC,eng,HL,IH,150,8
51,RULEC,eng,HL,IM,22,3
52,RULEC,eng,FL,IH,196,18
53,RULEC,eng,FL,IM,285,19
55,RULEC,eng,HL,AM,537,25
56,RULEC,eng,FL,AL,215,10
58,RULEC,eng,FL,AM,291,16
59,RULEC,eng,HL,IM,75,7
60,RULEC,eng,FL,AL,109,6
61,RULEC,eng,HL,AL,86,5
62,RULEC,eng,HL,AM,503,20
63,RULEC,eng,FL,AL,43,5
64,RULEC,eng,FL,AM,149,9
65,RULEC,eng,HL,IH,34,5
66,RULEC,eng,HL,AL,95,5
67,RULEC,eng,FL,IH,214,19
68,RULEC,eng,FL,AL,131,9
69,RULEC,eng,HL,AM,412,29
70,RULEC,eng,FL,IM,95,4
71,RULEC,eng,HL,AL,146,9
72,RULEC,eng,FL,IH,308,13
73,RULEC,eng,FL,IH,74,6
74,RULEC,eng,FL,AM,173,5
75,RULEC,eng,FL,AL,278,12
77,RULEC,eng,HL,IH,50,3
78,RULEC,eng,HL,AL,235,11
79,RULEC,eng,FL,AL,53,3
81,RULEC,eng,HL,AL,116,8
82,RULEC,eng,FL,IH,87,4
83,RULEC,eng,FL,IH,8,1
84,RULEC,eng,FL,AL,96,12
85,RULEC,eng,FL,AL,388,21
86,RULEC,eng,HL,AM,192,8
87,RULEC,eng,FL,AL,61,6
88,RULEC,eng,FL,AL,110,3
89,RULEC,eng,FL,AL,97,11
90,RULEC,eng,HL,AM,198,12
91,RULEC,eng,HL,IH,55,4
266,RULEC,eng,HL,AL,311,15
269,RULEC,eng,HL,AM,95,7
270,RULEC,eng,FL,IM,342,17
273,RULEC,eng,HL,IH,334,20
274,RULEC,eng,HL,AL,82,1
275,RULEC,eng,FL,IH,48,1
276,RULEC,eng,FL,AM,582,23
277,RULEC,eng,HL,IH,81,5
278,RULEC,eng,FL,AL,109,13
280,RULEC,eng,HL,AM,392,16
281,RULEC,eng,FL,AM,35,3
282,RULEC,eng,HL,IH,89,4
283,RULEC,eng,FL,IH,412,18
284,RULEC,eng,FL,AM,431,26
