id,sentence_id,tag,quote,correction,start,end,annotation_source
9933,7002,"asp,morph",Стоив,Строя,0,1,manual
7468,13001,"constr,asp",имеет силь,начинает,5,7,manual
8329,14003,asp,будет рассказывать,расскажет,2,4,manual
124608,15001,asp,положит,кладет,3,4,manual
8897,23016,"constr,lex,asp",приехали в такие места,побывали в таких местах,12,16,manual
8841,23018,asp,доказывать,доказать,17,18,manual
8862,23024,"asp,tense",приходит,придёт,14,15,manual
8864,23025,asp,договариваться,договориться,8,9,manual
8917,24003,asp,перегреваться,перегреться,12,13,manual
12445,28005,asp,убили,убивали,14,15,manual
12442,28006,asp,заставил,заставлял,9,10,manual
12438,28009,asp,сохранили,сохраняли,4,5,manual
10684,32008,asp,проверила,проверяла,15,16,manual
9052,38005,"agrnum,asp",показывала,показали,6,7,manual
10735,38005,asp,рассказывали,рассказали,10,11,manual
10708,38014,asp,могут понимать,смогут понять,7,9,manual
10716,38019,asp,приукрашивали,приукрасили,6,7,manual
9130,38029,asp,буду слышать,услышу,5,7,manual
9296,39030,asp,рассматрывать,рассмотреть,3,4,manual
11479,42002,asp,нравился,понравился,3,4,manual
11530,44002,asp,дам,дан,7,8,manual
11547,44010,asp,повторить,повторять,5,6,manual
11549,44012,asp,спрашивали,спросили,3,4,manual
7586,52005,asp,слышала,услышала,9,10,manual
10160,52015,asp,уменьшать,уменьшить,3,4,manual
10161,52016,asp,привлекать,привлечь,13,14,manual
12355,53006,asp,писать,написать,9,10,manual
7637,53014,"refl,asp",учил,научился,9,10,manual
12398,53018,"deriv,asp,refl",познакомаю,знакомлюсь,1,2,manual
12215,56007,asp,ездить,съезить,13,14,manual
12301,56008,asp,раздали,раздавали,7,8,manual
11592,58005,asp,думала,подумала,2,3,manual
11806,58015,asp,поддерживать,поддержать,19,20,manual
9847,73002,asp,нравился,понравился,12,13,manual
10379,74003,asp,экономило,сэкономило,10,11,manual
10390,75002,asp,значит,означает,11,12,manual
10416,75009,asp,избегать,избежать,15,16,manual
10335,81003,asp,назвать,называть,2,3,manual
8687,276014,asp,купить,покупать,41,42,manual
8755,278011,asp,помогать,помочь,11,12,manual
9138,283005,asp,жениться,пожениться,7,8,manual
9406,284015,asp,сделать,делать,3,4,manual
9410,284020,"par,asp",выяснить,объяснять,6,7,manual
9416,284026,asp,объяснить,объяснять,19,20,manual
9417,284026,asp,определить,определять,23,24,manual
10263,287002,asp,будет стать,станет,18,20,manual
10270,287006,asp,будет сеать,будет,7,9,manual
11210,289010,asp,сделать,делать,21,22,manual
11260,289018,asp,установить,устанавливать,13,14,manual
11631,289052,"par,asp",оживлять,восстановить,6,7,manual
10870,296121,asp,нейтрализовать,нейтрализовывать,14,15,manual
10194,322001,asp,арестовали,арестовывали,5,6,manual
10196,322002,asp,стало,становилось,6,7,manual
10198,322002,"constr,asp",провели,люди проводили,14,15,manual
10220,324015,asp,оживлять,оживить,40,41,manual
10244,324024,asp,оживлять,оживить,29,30,manual
9952,327012,"asp,transfer",думай,подумай,10,11,manual
20589,353001,"lex,asp",творили,создали,21,22,manual
21572,405006,asp,познакомиться,знакомиться,6,7,manual
91078,428002,asp,понимать,понять,20,21,manual
21075,432007,asp,вызывать,вызвать,2,3,manual
24014,678003,asp,выкопать,выкапывать,6,7,manual
23960,683014,asp,понимала,поняла,2,3,manual
23862,689003,asp,поручали,поручили,15,16,manual
23903,692026,asp,Сделать,Дeлать,0,1,manual
23904,692028,asp,может,сможет,2,3,manual
23908,692030,"asp,tense",может работает,сможет работать,8,10,manual
23910,692032,"aux,asp",будут шокировать,шокируют,5,7,manual
24022,694005,asp,развлекаться,развлечься,14,15,manual
24025,694015,asp,оставить,оставлять,9,10,manual
20285,698003,"asp,lex",изменилась,изменялась,15,16,manual
20360,710019,asp,получить,получать,13,14,manual
1337,941007,"asp,lex",информировано,,25,26,manual
24284,948003,asp,видели,увидели,15,16,manual
24285,948005,asp,продолжали,продолжили,5,6,manual
24258,948007,asp,занимало,заняло,32,33,manual
24272,948012,asp,слышать,слушать,16,17,manual
1364,961008,"asp,morph",предложит,,2,3,manual
1372,961015,asp,давать,,12,13,manual
1376,961017,asp,давать,,16,17,manual
73909,965020,"tense,asp",говорит,говорить,13,14,manual
73911,965021,"tense,asp",позвонит,позвонить,11,12,manual
73915,965021,"tense,asp",слышат,услышать,13,14,manual
73916,965023,"tense,asp",удалит,удалить,2,3,manual
73481,977002,asp,ходил,ушел,10,11,manual
40109,1001008,asp,проявиться,проявляться,3,4,manual
40169,1003007,asp,продвигалась,продвинулась,10,11,manual
40217,1003013,asp,созданным, создававшимся,29,30,manual
40361,1007013,"extra,ortho,miss,aux,refl,asp",называн,назывался,1,2,manual
40384,1007017,"asp,aux",быть,стать,6,7,manual
40386,1008003,asp,участвовать,поучаствовать,18,19,manual
40406,1010008,"mode,asp,aux",будет,стало бы,13,14,manual
1497,1012013,"asp,constr",регулирует,,9,10,manual
40679,1022005,"passive,asp",не пишется,не написано,2,4,manual
41055,1025005,asp,допускайте,допустите,1,2,manual
41342,1028004,asp,чистить,очистить,13,14,manual
41349,1029004,asp,служить,послужить,2,3,manual
41385,1033001,"asp,lex",поступать,попасть,13,14,manual
41386,1033001,asp,помогала,помогла,6,7,manual
41381,1033002,asp,диктировала,продиктовала,1,2,manual
41383,1033003,asp,узнала,знала,2,3,manual
41832,1039003,"asp,mode,miss",припочитала,бы предпочла,5,6,manual
41980,1047001,asp,сдавать,сдать,10,11,manual
41981,1047001,asp,поступать,поступить,13,14,manual
30736,1054022,"ortho,miss,asp",наслаждатся,насладиться,12,13,manual
139544,1054084,asp,могли,смогли,7,8,manual
31751,1054118,asp,критиковать,раскритиковать,6,7,manual
30919,1061004,asp,переехать,переезжать,4,5,manual
42016,1063026,asp,посадить,сажать,3,4,manual
42187,1065011,asp,выбирать,выбрать,2,3,manual
42196,1068002,"aux,asp",быть,стать,11,12,manual
43192,1069007,asp,наростало,нарасло,5,6,manual
42757,1071029,asp,попытаться,пытаться,6,7,manual
42765,1073003,asp,отвлеклись,отвлекались,13,14,manual
29607,1075019,asp,поступать,поступить,22,23,manual
29369,1075035,asp,продолжать,продолжить,10,11,manual
29401,1080002,asp,перешла,пришла,3,4,manual
36165,1087005,asp,служила,послужила,7,8,manual
29805,1090007,asp,делать,сделать,7,8,manual
29819,1092006,"tense,asp",выйдут,выходят,15,16,manual
29823,1092006,asp,нанять,нанимать,34,35,manual
1568,1100005,asp,Ходя,,0,1,manual
20106,1101006,asp,начинать,начать,10,11,manual
20395,1101008,"asp,lex,transfer,subst",начила,стала,5,6,manual
44480,1101011,asp,учиться,отучиться,10,11,manual
13729,1113010,asp,слушать,послушать,3,4,manual
21907,1122015,asp,соглашаться,согласиться,6,7,manual
21915,1122021,"lex,par,asp",сказал,говорил,11,12,manual
25251,1133017,asp,решит,решить,7,8,manual
74557,1140001,"asp,infl,miss",получат,получить,10,11,manual
47278,1141050,asp,пересечь,пересекать,8,9,manual
47279,1141050,"asp,lex",оказаться,прибывать,12,13,manual
47293,1141055,asp,позволяло,позволило,11,12,manual
47294,1141056,asp,позволяло,позволило,5,6,manual
27138,1142001,"lex,asp",утверждать,подтвердить,34,35,manual
1724,1177014,asp,начинали,,4,5,manual
33208,1178002,asp,изменить,изменять,21,22,manual
35426,1185016,asp,изменялось,менялось,5,6,manual
33763,1187004,asp,говорит,поговорить,12,13,manual
33771,1187010,asp,идти,пойти,6,7,manual
33716,1188004,asp,срашаваете,спросите,2,3,manual
33717,1188005,asp,думаете,подумайте,2,3,manual
33728,1188020,asp,думаете,думайте,1,2,manual
33976,1189008,asp,научился,научится,8,9,manual
33979,1189019,asp,считает,считала,5,6,manual
42960,1198045,asp,думали,подумали,8,9,manual
42961,1198048,"asp,tense,constr",уходит,уйдет,20,21,manual
24432,1206016,"not-clear,asp",ехать,уехать,2,3,manual
24527,1209014,asp,изгоняли,изгнали,5,6,manual
24543,1209016,asp,был,стал,12,13,manual
24592,1209030,asp,понравился,нравился,1,2,manual
24859,1213004,asp,освоить,осваивать,10,11,manual
24809,1213012,asp,попытался,пытался,8,9,manual
24816,1213015,"lex,asp",ковать,проложить,5,6,manual
24863,1213015,asp,попытался,пытался,4,5,manual
24833,1213021,asp,усиливал,усилил,1,2,manual
24835,1213022,asp,помогали,помогли,3,4,manual
25019,1217062,"lex,asp",вызывал международное движение,положил начало международному движению,5,8,manual
25317,1221005,"asp,constr",поможет,помогал бы,10,11,manual
25425,1224006,"lex,asp",отделила,разделяла,6,7,manual
25577,1235015,asp,идти,сходить,17,18,manual
25578,1235015,"idiom,asp",как говорил,как говорится,24,26,manual
25580,1235017,"lex,not-clear,asp",подчеркивал,упомянул,9,10,manual
25632,1236007,asp,описали,описывали,17,18,manual
25648,1236011,asp,признали,признавали,19,20,manual
25695,1236031,asp,признали,признавали,4,5,manual
25697,1236031,"asp,ref",объяснили,объясняли эти,18,19,manual
25698,1236031,asp,сделали,делали,23,24,manual
25709,1236032,asp,упомянули,упоминали,19,20,manual
25764,1236053,"lex,asp",говорить,сказать,35,36,manual
25765,1236054,"asp,lex",говорить,сказать,5,6,manual
25604,1238009,asp,увидеть,видеть,4,5,manual
25850,1240008,"lex,asp",ходить,перейти,2,3,manual
25904,1240025,"lex,asp",поняла,оценивала,11,12,manual
25924,1240026,asp,поняли,понимали,7,8,manual
25928,1242005,asp,описал,описывал,2,3,manual
26121,1248008,"lex,constr,asp",поняли стиль,получали опыт,12,14,manual
26146,1250001,"lex,asp",нашли,открывали,7,8,manual
26338,1256013,asp,помыть,мыть,13,14,manual
26344,1256023,"asp,agrnum",просили,попросила,2,3,manual
