id,sentence_id,tag,quote,correction,start,end,annotation_source,subcorpus,native,language_background,level,words,sentences
8848,23021,lex,тоже,также,1,2,manual,HSE,eng,FL,IH,250.0,13.0
8856,23021,lex,устроится,утроится,14,15,manual,HSE,eng,FL,IH,262.0,15.0
43,31001,lex,строения,,7,8,manual,RULEC,eng,HL,IM,55.0,6.0
44,31003,lex,строения,,7,8,manual,RULEC,eng,FL,IM,329.0,29.0
48,34002,morph,восприминают,,10,11,manual,RULEC,eng,FL,IH,54.0,3.0
9196,39002,agrgender,которую,который,4,5,manual,HSE,eng,FL,IM,333.0,49.0
9225,39007,"lex,transfer",На,В,0,1,manual,HSE,eng,FL,IH,588.0,34.0
9226,39007,"gov,gender",группов,групп,9,10,manual,HSE,eng,FL,IH,215.0,14.0
9251,39018,lex,анализы,вычисления,12,13,manual,HSE,eng,FL,IH,377.0,18.0
11556,44014,agrcase,работе,работу,26,27,manual,HSE,eng,FL,B2,218.0,19.0
11560,44021,"infl,ortho",слова,слово,2,3,manual,HSE,eng,FL,B2,175.0,11.0
11339,61004,"agrgender,agrnum",все,всю,24,25,manual,,eng,FL,A2,164.0,17.0
9752,72002,"ortho,constr",последные века,последнее время,8,10,manual,HSE,eng,FL,A2,77.0,4.0
9765,72004,"lex,transfer",город Киев,Киев,3,5,manual,HSE,eng,FL,A2,43.0,1.0
10411,75007,lex,на самом деле,просто,15,18,manual,SFEDU,eng,FL,B1,517.0,17.0
73,78001,"ortho,lex",созданые,,13,14,manual,RULEC,eng,FL,IH,74.0,6.0
77,78004,syntax,автора,,6,7,manual,RULEC,eng,HL,IH,50.0,3.0
89,78009,lex,стремление,,6,7,manual,RULEC,eng,FL,AL,97.0,11.0
8849,266014,gov,строительства,строительство,7,8,manual,HSE,eng,FL,IH,285.0,16.0
8852,266015,"gov,agrcase",Санкт-Петербургу,Санкт-Петербурга,10,11,manual,HSE,eng,FL,IH,213.0,14.0
8855,266015,"misspell,deriv",вещест,веществ,22,23,manual,HSE,eng,FL,IH,231.0,12.0
317,270007,"lex,coord",грозит,,4,5,manual,RULEC,eng,HL,AM,66.0,3.0
320,270010,gov,Проблема,,0,1,manual,RULEC,eng,HL,IM,157.0,14.0
325,270012,constr,решению,,3,4,manual,RULEC,eng,HL,IM,216.0,11.0
334,270016,"ref,morph",корректировал,,19,20,manual,RULEC,eng,HL,AM,58.0,3.0
337,270017,lex,могут,,12,13,manual,RULEC,eng,FL,AL,17.0,2.0
9180,283013,"constr,agrcase,gov",этносам,этносов,20,21,manual,HSE,eng,FL,IH,130.0,12.0
9187,283014,agrgender,интернационального,интернациональной,17,18,manual,HSE,eng,FL,IH,175.0,17.0
9209,283017,agrcase,естественная часть,естественную часть,14,16,manual,HSE,eng,FL,IM,490.0,63.0
9216,283017,"mode,tense",полагал бы,предполагает,5,7,manual,HSE,eng,FL,IH,103.0,8.0
9266,283018,constr,существует,существовать,17,18,manual,HSE,eng,FL,IH,556.0,34.0
352,292002,lex,желала,,1,2,manual,RULEC,eng,HL,AL,78.0,3.0
364,303003,syntax,это,,35,36,manual,RULEC,eng,HL,IM,84.0,4.0
373,304003,lex,заложенная,,3,4,manual,RULEC,eng,FL,AM,64.0,5.0
382,308003,lex,представляет,,5,6,manual,RULEC,eng,HL,AL,40.0,3.0
1326,941001,"gov,constr",Одна,,0,1,manual,RULEC,eng,HL,AL,106.0,7.0
1327,941001,morph,сексуальнами,,17,18,manual,RULEC,eng,FL,IH,46.0,2.0
1329,941002,morph,говорят,,1,2,manual,RULEC,eng,HL,AL,231.0,15.0
1330,941003,"lex,constr",или,,8,9,manual,RULEC,eng,HL,IH,100.0,5.0
1332,941004,lex,субъекта,,6,7,manual,RULEC,eng,FL,AM,376.0,21.0
1333,941004,"ortho,gov",учреждение,,8,9,manual,RULEC,eng,HL,AM,120.0,7.0
1335,941004,gov,формой,,18,19,manual,RULEC,eng,HL,AM,625.0,45.0
1337,941007,"asp,lex",информировано,,25,26,manual,RULEC,eng,HL,IH,75.0,7.0
1338,941008,lex,субъектом,,4,5,manual,RULEC,eng,FL,IM,328.0,21.0
