id_x,sentence_id,tag,quote,correction,start,end,annotation_source,subcorpus,native,language_background,level,words,sentences,id_y,text,specific_error
10644,32010,"space,deriv",по- русский,по-русски,15,17,manual,HSE,chi,FL,A2,161.0,1.0,32010,"Мое исследование о Гулаге, о городе Магадане и о его жителях было сделано и по- русский и по- английский.",Deriv-Form
10648,32011,"agrgender,ortho,miss",бло,была,1,2,manual,HSE,chi,FL,A2,159.0,24.0,32011,Это бло моя первая возможность исследовать по- русский и проводить русский на английский.,Agr-SVPast
10650,32011,"space,deriv",по- русский,по-русски,6,8,manual,HSE,chi,FL,B1,349.0,6.0,32011,Это бло моя первая возможность исследовать по- русский и проводить русский на английский.,Deriv-Form
10654,33002,gov,равноправие,равноправия,21,22,manual,HSE,chi,FL,B1,215.0,22.0,33002,Вот мой вопрос для вас: С первого в России празднования международного дня женщин в 1913 г. русские женщины требуют равноправие.,Gov-Case
9689,41004,lex,власть,авторитет,6,7,manual,HSE,chi,FL,A2,81.0,6.0,41004,"Есть мнение о том, что власть России и ее влияние на решения международных вопросов прошли.",Lex-VerbChoice
9691,41004,lex,прошли,снизились,15,16,manual,HSE,chi,FL,B2,167.0,8.0,41004,"Есть мнение о том, что власть России и ее влияние на решения международных вопросов прошли.",Lex-Collocation
9349,41006,lex,составить,изложить свою,9,10,manual,,chi,FL,A1,101.0,11.0,41006,"Несмотря на эти разные мнения, я хотел бы составить свою точку зрения по этому вопросу, опираясь на факты.",Lex-Collocation
9350,41007,constr,научно-технологическую,научно-технической области,15,16,manual,,chi,FL,A1,105.0,8.0,41007,"Это очень широкая тема, включающая в себя области политики, экономики, культуры и научно-технологическую.",Syn-VerbPhrase
9692,41007,lex,области,вопросы,8,9,manual,HSE,chi,FL,B2,66.0,3.0,41007,"Это очень широкая тема, включающая в себя области политики, экономики, культуры и научно-технологическую.",Lex-VerbChoice
9357,41009,"conj,constr,transfer,space",так же и,а также,9,12,manual,,chi,FL,A1,113.0,4.0,41009,"Поэтому Россия принимает участие в обсужденниях вопросов ООН, так же и в разрешении арабо-израильского конфликта и в вопросах нераспространения ядерного оружия.",Lex-Collocation
9695,41015,constr,этом компоненте,этой сфере,2,4,manual,HSE,chi,FL,B1,91.0,5.0,41015,"И в этом компоненте Россия продолжает занимать важное место, так как является основным поставщиком топлива для европейского региона.",Lex-VerbChoice
11818,58008,syntax,репрессия,репрессия против,18,19,manual,HSE,chi,FL,B1,297.0,13.0,58008,"Как я понимаю эту идею, «андерграунд» может существовать только если есть официальная культурная или социальная репрессия той или иной группы людей.",Gov-Preposition
